Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
15257_2226_x16029_y23953,2353,12.5664,8,35,76,42,188.75,177.9,184.225,1.99915,3708.81,23303.2,11651.6,99.9887,306.472,9,0.904402,29.9474,1,76.9849,68.1006,1.0708
15257_2309_x13266_y25533,2673,12.5664,9,43,93,51,192.725,191.95,191.55,1.99925,3874.39,24343.5,12171.8,99.9683,243.082,11,0.914854,27.7312,1,71.9043,76.8021,1.08024
15257_2627_x17126_y20600,2559,12.5664,8,42,90,49,183.225,197.15,190.125,1.99922,3521.2,22124.3,11062.2,99.9883,162.36,9,0.95127,27.4222,1,60.2471,53.4307,1.06319
15257_3271_x15413_y13333,3239,12.5664,8,50,106,57,173.9,191.2,178.225,1.99938,4904.72,30817.3,15408.6,99.9987,298.425,8,0.912014,29.5472,1,65.8098,72.0938,1.06792
15257_4021_x16401_y21556,2336,12.5664,6,30,64,35,192.125,186.0,194.275,1.99914,3403.32,21383.7,10691.8,99.978,343.071,10,0.926825,35.4844,1,78.7058,88.483,1.08735
15257_4149_x16164_y21238,2449,12.5664,6,35,74,40,192.3,191.6,184.325,1.99918,3451.05,21683.6,10841.8,99.9856,335.886,8,0.939534,32.0811,1,78.82,77.2285,1.05645
15257_4397_x16794_y21812,2656,12.5664,8,32,70,39,196.075,185.1,182.775,1.99925,3919.13,24624.6,12312.3,99.9123,302.475,7,0.94645,36.9286,1,72.1131,65.681,1.08653
15257_4485_x16442_y16836,2834,12.5664,9,40,87,48,194.85,190.525,187.95,1.99929,4033.36,25342.4,12671.2,99.99,303.073,9,0.93919,31.5632,1,72.6604,62.5412,1.09227
15257_4500_x16614_y17147,2289,12.5664,7,33,71,39,173.45,178.45,190.025,1.99913,3176.24,19956.9,9978.45,99.9013,302.037,7,0.940203,31.2254,1,78.6636,78.9818,1.07096
17109_1701_x8048_y22277,1929,12.5664,8,36,78,43,181.875,184.75,156.925,1.99896,2790.92,17535.9,8767.95,99.9589,244.393,6,0.953128,23.7179,1,64.3719,64.4175,1.03565
