sub_region,rough_region
FRP,CTX
MOp,CTX
MOs,CTX
SSp-n,CTX
SSp-bfd,CTX
SSp-ll,CTX
SSp-m,CTX
SSp-ul,CTX
SSp-tr,CTX
SSp-un,CTX
SSs,CTX
GU,CTX
VISC,CTX
AUDd,CTX
AUDp,CTX
AUDpo,CTX
AUDv,CTX
VISal,CTX
VISam,CTX
VISl,CTX
VISp,CTX
VISpl,CTX
VISpm,CTX
VISli,CTX
VISpor,CTX
ACAd,CTX
ACAv,CTX
PL,CTX
ILA,CTX
ORBl,CTX
ORBm,CTX
ORBvl,CTX
AId,CTX
AIp,CTX
AIv,CTX
RSPagl,CTX
RSPd,CTX
RSPv,CTX
VISa,CTX
VISrl,CTX
TEa,CTX
PERI,CTX
ECT,CTX
MOB,CTX
AOB,CTX
AON,CTX
TT,CTX
DP,CTX
PIR,CTX
NLOT,CTX
COAa,CTX
COAp,CTX
PAA,CTX
TR,CTX
CA1,CTX
CA2,CTX
CA3,CTX
DG,CTX
FC,CTX
IG,CTX
ENTl,CTX
ENTm,CTX
PAR,CTX
POST,CTX
PRE,CTX
SUB,CTX
ProS,CTX
HATA,CTX
APr,CTX
CLA,CTX
EPd,CTX
EPv,CTX
LA,CTX
BLA,CTX
BMA,CTX
PA,CTX
CP,CNU
ACB,CNU
FS,CNU
OT,CNU
LSc,CNU
LSr,CNU
LSv,CNU
SF,CNU
SH,CNU
AAA,CNU
BA,CNU
CEA,CNU
IA,CNU
MEA,CNU
GPe,CNU
GPi,CNU
SI,CNU
MA,CNU
MS,CNU
NDB,CNU
TRS,CNU
BST,CNU
BAC,CNU
VAL,TH
VM,TH
VPL,TH
VPLpc,TH
VPM,TH
VPMpc,TH
PoT,TH
SPFm,TH
SPFp,TH
SPA,TH
PP,TH
MG,TH
LGd,TH
LP,TH
PO,TH
POL,TH
SGN,TH
AV,TH
AM,TH
AD,TH
IAM,TH
IAD,TH
LD,TH
IMD,TH
MD,TH
SMT,TH
PR,TH
PVT,TH
PT,TH
RE,TH
Xi,TH
RH,TH
CM,TH
PCN,TH
CL,TH
PF,TH
PIL,TH
RT,TH
IGL,TH
IntG,TH
LGv,TH
SubG,TH
MH,TH
LH,TH
SO,HY
ASO,HY
PVH,HY
PVa,HY
PVi,HY
ARH,HY
ADP,HY
AVP,HY
AVPV,HY
DMH,HY
MEPO,HY
MPO,HY
OV,HY
PD,HY
PS,HY
PVp,HY
PVpo,HY
SBPV,HY
SCH,HY
SFO,HY
VMPO,HY
VLPO,HY
AHN,HY
LM,HY
MM,HY
SUM,HY
TMd,HY
TMv,HY
MPN,HY
PMd,HY
PMv,HY
PVHd,HY
VMH,HY
PH,HY
LHA,HY
LPO,HY
PST,HY
PSTN,HY
PeF,HY
RCH,HY
STN,HY
TU,HY
ZI,HY
ME,HY
SCs,MB
IC,MB
NB,MB
SAG,MB
PBG,MB
MEV,MB
SCO,MB
SNr,MB
VTA,MB
PN,MB
RR,MB
MRN,MB
SCm,MB
PAG,MB
APN,MB
MPT,MB
NOT,MB
NPC,MB
OP,MB
PPT,MB
CUN,MB
RN,MB
III,MB
MA3,MB
EW,MB
IV,MB
Pa4,MB
VTN,MB
AT,MB
LT,MB
DT,MB
MT,MB
SNc,MB
PPN,MB
IF,MB
IPN,MB
RL,MB
CLI,MB
DR,MB
NLL,HB
PSV,HB
PB,HB
SOC,HB
B,HB
DTN,HB
PDTg,HB
PCG,HB
PG,HB
PRNc,HB
SG,HB
SUT,HB
TRN,HB
V,HB
P5,HB
Acs5,HB
PC5,HB
I5,HB
CS,HB
LC,HB
LDT,HB
NI,HB
PRNr,HB
RPO,HB
SLC,HB
SLD,HB
AP,HB
DCO,HB
VCO,HB
CU,HB
GR,HB
ECU,HB
NTB,HB
NTS,HB
SPVC,HB
SPVI,HB
SPVO,HB
Pa5,HB
VI,HB
VII,HB
ACVII,HB
AMB,HB
DMX,HB
GRN,HB
ICB,HB
IO,HB
IRN,HB
ISN,HB
LIN,HB
LRN,HB
MARN,HB
MDRNd,HB
MDRNv,HB
PARN,HB
PAS,HB
PGRNd,HB
PGRNl,HB
NR,HB
PRP,HB
PPY,HB
LAV,HB
MV,HB
SPIV,HB
SUV,HB
x,HB
XII,HB
y,HB
RM,HB
RPA,HB
RO,HB
LING,CB
CENT,CB
CUL,CB
DEC,CB
FOTU,CB
PYR,CB
UVU,CB
NOD,CB
SIM,CB
AN,CB
PRM,CB
COPY,CB
PFL,CB
FL,CB
FN,CB
IP,CB
DN,CB
VeCB,CB
