s_name o_name
17109_1701_x8048_y22277 8053_22279_1778
17109_1801_x6698_y12550 6700_12555_1849
17109_1901_x9602_y10508 9604_10513_1958
17109_2201_x8046_y23301 8052_23306_2277
17109_2301_x8535_y23051 8543_23054_2306
17109_2301_x9418_y23665 9420_23668_2305
17109_2401_x8977_y24184 8980_24186_2486
17109_2401_x9338_y2394 9342_23696_2442
17109_2401_x9695_y9693 9702_9694_2456
17109_2401_x9954_y9122 9953_9121_2432
17109_2500_x9864_y9311 9866_9308_2500
17109_2601_x10213_y8783 10219_8783_2635
17109_2601_x9296_y24691 9301_24695_2690
17109_2601_x9498_y8169 9503_8169_2697
17109_3101_x10824_y7188 10829_7188_3186
17109_3701_x9228_y26684 9240_26697_3737
17109_4101_x6753_y6197 6760_6209_4162
17109_4764_x6621_y5727 6625_5736_4767
17109_4772_x9038_y27257 9042_27263_4776
17109_6301_x4756_y24516 4760_24528_6358
17109_6401_x7641_y3978 7813_4105_6499
17109_6401_x7989_y3767 7647_3978_6436
17109_6501_x6997_y4287 6998_4290_6541
17109_6601_x4384_y7436 4328_6756_6291
17109_6601_x5417_y25287 5421_25294_6634
17109_6801_x7432_y4405 7433_4408_6892
17109_6901_x7203_y26714 6944_26611_6872
17109_7001_x5738_y6470 5739_6478_7050
17109_7001_x6205_y5194 6207_5194_7064
210254_2309_x13266_y25533 13261_25519_2290
210254_4021_x16401_y21556 16400_21560_4019
18462_00007 11975_10036_3537
18462_00012 10871_9479_5548
18462_00013 10418_9388_5675
18462_00015 10301_9376_5883
18462_00016 10662_10190_5512
18462_00017 10984_9585_5772
18462_00018 10750_9915_5733
18462_00019 11428_9977_5800
18462_00020 10269_8859_6027
18462_00021 10215_9056_5958
18462_00022 10063_9039_6156
18462_00023 11253_9738_6384
18462_00024 9517_8249_6626
18462_00025 10180_8479_6639
18462_00026 10616_9090_6803
18462_00027 9970_10457_5550
18462_00028 10940_11071_5668
18462_00029 11386_11121_5998
18462_00030 11926_11030_5957
18462_00032 12678_11193_5983
18462_00038 21242_8644_4365
18462_00040 20576_10029_5056
18462_00041 20544_10179_5137
18462_00042 20802_10169_5020
18462_00048 22012_11183_3253
18462_00049 21729_11292_3174
18462_00050 21449_10449_3331
